h,MAE,Count
1,90.37629405555556,720.0
2,91.8010613888889,720.0
3,93.14072511111112,720.0
4,91.1842628650904,719.0
5,90.4459497635605,719.0
6,91.83283515994438,719.0
7,93.19373315716273,719.0
8,91.15014961002787,718.0
9,90.34228038997215,718.0
10,91.82643501392758,718.0
11,93.28154231197773,718.0
12,91.23980150627614,717.0
13,90.42046189679219,717.0
14,91.89240596931661,717.0
15,93.36954393305437,717.0
16,91.27806583798882,716.0
17,90.50457980446927,716.0
18,92.00409712290502,716.0
19,93.46627969273743,716.0
20,91.30504906293706,715.0
21,90.53002875524476,715.0
22,92.07724145454544,715.0
23,93.49057703496503,715.0
24,91.40931918767507,714.0
25,90.65150145658264,714.0
26,92.1545262745098,714.0
27,93.52290478991597,714.0
28,91.4115178681627,713.0
29,90.70481206171107,713.0
30,92.23651436185132,713.0
31,93.53492070126227,713.0
32,91.42048733146068,712.0
33,90.7087611516854,712.0
34,92.08534578651685,712.0
35,93.17617750000001,712.0
36,91.18249625879042,711.0
37,90.43545668073136,711.0
38,91.85478452883262,711.0
39,93.01551780590718,711.0
40,91.02571228169015,710.0
41,90.21676904225352,710.0
42,91.58939963380281,710.0
43,92.80042414084507,710.0
44,90.60657396332864,709.0
45,89.51889540197462,709.0
46,91.023592045134,709.0
47,92.34524462623412,709.0
48,90.58824663841807,708.0
49,89.32253858757062,708.0
50,90.85835299435028,708.0
51,92.0211736723164,708.0
52,90.32584551626591,707.0
53,89.07184667609617,707.0
54,90.6523779632249,707.0
55,91.913555417256,707.0
56,90.37041895184136,706.0
57,89.11188974504249,706.0
58,90.63245886685553,706.0
59,91.85646416430595,706.0
60,90.34723480851063,705.0
61,89.15712147517729,705.0
62,90.65594085106382,705.0
63,91.83838842553192,705.0
64,90.24509022727273,704.0
65,89.21177204545455,704.0
66,90.68879874999999,704.0
67,91.80941934659091,704.0
68,90.2807294736842,703.0
69,89.26379280227596,703.0
70,90.74178204836416,703.0
71,91.88156284495021,703.0
72,90.25957156695156,702.0
73,89.22307435897436,702.0
74,90.6822415099715,702.0
75,91.81463168091169,702.0
76,90.24013694721826,701.0
77,89.19811406562054,701.0
78,90.68876179743224,701.0
79,91.8620148644793,701.0
80,90.17767554285713,700.0
81,89.16656254285714,700.0
82,90.65878885714285,700.0
83,91.8580114857143,700.0
84,90.17353253218886,699.0
85,89.18450123032905,699.0
86,90.6715156795422,699.0
87,91.82588964234621,699.0
88,90.09815191977077,698.0
89,89.06163842406876,698.0
90,90.56891022922636,698.0
91,91.78113770773638,698.0
92,90.0445700143472,697.0
93,89.01962665710185,697.0
94,90.53923899569583,697.0
95,91.79998378766139,697.0
96,90.08698477011494,696.0
97,89.07883514367816,696.0
98,90.60307807471264,696.0
99,91.82601908045977,696.0
100,90.13878641726619,695.0
101,89.09096848920862,695.0
102,90.66982454676258,695.0
103,91.86742046043165,695.0
104,90.18074083573488,694.0
105,89.15074014409221,694.0
106,90.7181501440922,694.0
107,91.95268585014409,694.0
108,90.26671555555555,693.0
109,89.26017287157286,693.0
110,90.8324984992785,693.0
111,92.03311630591631,693.0
112,90.31766823699422,692.0
113,89.36342751445086,692.0
114,90.93190739884393,692.0
115,92.09373748554913,692.0
116,90.40288202604921,691.0
117,89.43778642547034,691.0
118,91.04154243125905,691.0
119,92.1911722431259,691.0
120,90.44208356521739,690.0
121,89.42723463768115,690.0
122,91.03579956521739,690.0
123,92.20892547826088,690.0
124,90.5474397677794,689.0
125,89.49808844702466,689.0
126,91.11373683599419,689.0
127,92.27295068214804,689.0
128,90.60255997093023,688.0
129,89.5702703488372,688.0
130,91.21474305232557,688.0
131,92.36856531976744,688.0
132,90.63937280931587,687.0
133,89.53129222707423,687.0
134,91.10833889374089,687.0
135,92.29664879184863,687.0
136,90.68345481049563,686.0
137,89.38913131195335,686.0
138,91.07110897959183,686.0
139,92.3590024781341,686.0
140,90.7825623649635,685.0
141,89.47948160583941,685.0
142,91.19799091970803,685.0
143,92.31966189781022,685.0
144,90.90038435672516,684.0
145,89.57872131578947,684.0
146,91.25102476608187,684.0
147,92.31935807017544,684.0
148,90.98043493411419,683.0
149,89.59288969253294,683.0
150,91.1294556954612,683.0
151,92.13592040995607,683.0
152,90.9662317595308,682.0
153,89.69014988269794,682.0
154,91.19125146627566,682.0
155,92.26783521994136,682.0
156,91.02632202643173,681.0
157,89.71924919236416,681.0
158,91.19516276064611,681.0
159,92.35480728340676,681.0
160,91.14589452941176,680.0
161,89.8450909117647,680.0
162,91.32824973529411,680.0
163,92.38828879411766,680.0
164,91.20410748159057,679.0
165,89.85950368188513,679.0
166,91.33237313696613,679.0
167,92.39164789396172,679.0
168,91.16830761061946,678.0
169,89.81054740412979,678.0
170,91.2473017699115,678.0
171,92.29950761061947,678.0
172,91.1111459379616,677.0
173,89.7000611225997,677.0
174,91.0661035745938,677.0
175,92.00074620384048,677.0
176,90.83162562130177,676.0
177,89.44875082840237,676.0
178,90.89015079881656,676.0
179,91.92186325443787,676.0
180,90.66015194074075,675.0
181,89.41606367407407,675.0
182,90.8545698962963,675.0
183,91.89816405925927,675.0
184,90.64476522255192,674.0
185,89.40741204747773,674.0
186,90.88641661721068,674.0
187,91.93006451038576,674.0
188,90.65720210995542,673.0
189,89.39839803863298,673.0
190,90.9489227934621,673.0
191,91.9639347102526,673.0
192,90.70851654761904,672.0
