horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-07-18 10:15:00+00:00,0,15,9244.357101568958,10472.33044925466,11810.821496655466,12555.836166286217,13448.779195766394,13961.6617744903,14687.93578676577,15567.200138576623,16070.434920641419,17045.558912636054,17971.7630019291,18856.37256931492,19587.96502855156,20343.584277231428,21555.341054186585,22752.732491756648,24118.31958341016,25976.59187502357,30838.105611522093,86156.87641757206,18632.05096643871
2025-07-18 10:30:00+00:00,1,30,8812.099234445765,10287.631242568503,11482.838392458401,12709.703345794615,13749.06863347042,14343.36277687068,15152.328306269568,16154.827312097772,17155.500480421124,18125.320642435,18932.416761095894,20025.258812949065,20847.5680945643,22358.321443890523,23868.882493253896,25372.9575255742,27409.944041802675,33445.77941012776,44657.2809593505,87235.46210772094,20604.59998654766
2025-07-18 10:45:00+00:00,2,45,8334.976677105504,9847.115974543023,10802.971554489506,12514.472365481228,13545.259462059788,14299.001585300191,15228.406901187473,16405.971833647218,17622.02207571258,18751.135508889107,19775.389498326786,20954.8678532578,22393.74467580387,23852.61074618741,25460.227147120975,27321.491906403895,28968.516688057553,35252.1649638367,45232.85253493745,87965.63620994092,22367.581680359533
2025-07-18 11:00:00+00:00,3,60,8316.7172464494,9943.850938711394,10865.676738985096,12396.886914672468,13564.67998679499,14300.206682748136,15295.859727978366,16716.684901587178,18154.21769858238,19336.80965610229,20478.11234062927,21546.59035111023,22919.596784056575,23971.809059765386,25647.471200423643,27757.385961606382,31098.180960834034,35058.17633063288,44761.92449997495,88343.26424198631,21417.65770458904
2025-07-18 11:15:00+00:00,4,75,8041.751566715867,9773.71127943752,10555.51317819449,12467.93275377067,13449.463088095334,14029.2404760182,15034.49976731575,16438.475116153142,18076.769088877863,19404.19637480586,20413.040703949122,21833.341467014216,23212.381286462543,24313.446862988978,26746.712787483073,28666.545603942075,33705.13832989814,39539.898185945494,45441.281432582495,88366.28333952226,22313.13136340574
2025-07-18 11:30:00+00:00,5,90,7719.169571524525,9758.666377223119,10491.007524880912,12215.314823798708,13296.275485324355,13918.837559229329,14777.786494905224,15926.106909855573,17404.653114011908,18844.23435023064,20288.276221634183,21969.2057396757,23567.476074234062,25181.934249930036,27461.75631072086,30637.691021895786,33897.083350319874,41712.56356087006,46751.519850054705,88034.71524564446,22528.527050469806
2025-07-18 11:45:00+00:00,6,105,8448.346342033654,9942.273194500585,11132.529236392724,12798.056502470137,13776.677119686392,14532.757689657694,15679.466106383612,17578.458733820957,18829.949647408346,19936.562741410373,21159.964550914803,22731.36617451767,24116.288066727506,26380.1429103035,27849.686876032818,30484.830431219954,33790.234451469,39456.71258977154,50605.76110640937,87350.66587752607,23184.36394786042
2025-07-18 12:00:00+00:00,7,120,8346.974250178246,9801.297341000482,11420.902285731469,13123.276933157154,13869.979203871982,15215.462057870862,16796.926667626343,18137.890664328377,19498.666319936445,20921.998005770958,22319.020380661204,23321.02366840271,25308.418116123237,26842.915009937547,29234.434666333553,32694.684588468528,36957.026016221185,41031.79428121416,51203.29804627708,86318.31120969841,23554.960761504975
2025-07-18 12:15:00+00:00,8,135,9797.468570457566,13338.804806875029,17389.986104068877,19305.08180094508,22400.024758773066,25906.940634733146,27655.334638392975,30916.704684509332,33914.87187148856,35975.28282669827,39326.18279096993,42514.63417854614,45287.93469646879,49654.05244789744,51367.10959487817,55226.532530646065,58287.92900808186,60716.80426827386,64126.57181635395,84943.87223907678,37359.34429175702
2025-07-18 12:30:00+00:00,9,150,9665.732201218094,13949.140242180732,17828.731810461617,19673.654178204753,24362.2842670679,26500.892709100866,30797.060780986212,34027.364570777965,36144.592857504584,39327.08120214197,42611.98852679182,46506.71009410646,49403.89074641834,51048.53816134247,55651.5020297311,57405.448531637216,59046.8689712554,61094.592822349136,65548.63594316061,83235.58411962593,39274.53195391217
2025-07-18 12:45:00+00:00,10,165,9725.48463344715,14661.635722318535,18629.533121873043,22202.653864951237,26269.971965269815,30782.068881677296,34096.22041743164,36026.22255034034,39734.66478331419,42008.702789643015,45789.14708582875,48595.367026004016,49485.48237562107,53241.30330797655,55699.64394174262,56892.39916475209,58434.784538239044,61372.605065532334,63949.804597793925,81203.66527898787,40592.384997810455
2025-07-18 13:00:00+00:00,11,180,9986.303529164707,14895.513236166833,19024.41741482918,25060.740734911727,29695.074823055278,34396.56912049705,36384.43121601504,39878.1113970509,43016.75797562059,46621.49801133317,47656.2356819795,50074.83790803372,53130.25234018046,54344.74787836137,55426.472121720144,56238.07920320127,57171.46773354669,59606.739859049834,63356.49558533643,78860.29140614108,41943.91115604539
2025-07-18 13:15:00+00:00,12,195,9403.631440006202,14277.90655229492,20331.92665611265,25336.439664444482,31672.769310272495,33802.674817374536,36267.19327949427,40083.640739747694,43746.1833529785,45888.077675194145,46792.95430607393,50562.41820989452,51851.156819326075,53002.74458706045,54147.879141102996,55044.455054569706,57051.30452490641,58961.62486474392,62222.86353419984,76219.57818098419,41385.62467365434
2025-07-18 13:30:00+00:00,13,210,9820.918553291409,17252.166439422406,22146.40855413981,25163.797192478036,32100.304905166988,33859.81867755009,38213.4350289092,40748.23614357834,44208.559787698476,45174.3873812998,47989.7851695409,50389.76685399261,51462.22061679499,52553.73388570905,53074.96508064749,53635.215605216916,55234.022312334295,56774.99517313685,60605.16059712816,73297.57557487451,41347.989026783776
2025-07-18 13:45:00+00:00,14,225,10055.602602948948,14539.949185151212,18908.390839450698,24170.162707301635,27136.65892003505,31877.353071161302,33136.85007747965,37601.91465220571,39974.685234068194,43158.04565696913,44141.41307402258,48140.625385209074,49538.55565929842,50630.46676634988,51076.52615517288,51583.17662137931,52935.19933364419,54726.65983630831,58447.601965017195,70112.27596208171,38855.25697775885
2025-07-18 14:00:00+00:00,15,240,11606.755469454178,16055.225062180032,19722.251012302997,23022.421517158895,26451.66559416451,30339.95656863591,31774.167473007386,35818.72339301413,38227.08685792412,41103.63958231149,42110.32662910374,44037.53430722672,46980.838779802616,48394.24369161149,49145.77051656306,49739.10250841255,51125.029986142144,52847.751951951526,56319.35425513598,66683.63924259708,37502.53549923138
2025-07-18 14:15:00+00:00,16,255,12158.530174448299,16947.441245579186,20351.702113058174,22674.295957778337,25432.699490699575,28213.604361776186,30638.500419081618,32028.83184313086,35138.06697161961,37475.09565030211,40031.10300230108,40601.919512983484,41196.13268855747,43215.323180438994,45783.45638699208,47195.892799954745,48084.17430342001,49242.190616044914,53628.248310212504,63033.63939193762,35203.7394799748
2025-07-18 14:30:00+00:00,17,270,11717.349489073109,16012.151683994816,18995.25223186244,21695.242710682007,23992.060515816116,26178.578175205206,28822.711296479243,31246.16815703509,33118.788878240346,34808.249903624426,37787.91308198046,38573.259615644354,39064.802623949916,39792.86045852561,42923.77517185401,44709.33645013855,45966.61090108294,47487.97457482023,51073.864900579036,59186.33851508967,33449.06278852174
2025-07-18 14:45:00+00:00,18,285,11365.99301476547,12511.541151586807,15893.096986059394,19843.937467234464,21540.674291218646,24480.51547428666,27041.695509798443,28947.541857278684,31309.1810490695,32908.676797093016,35006.266473964904,36388.675828394174,36992.179127120246,37798.06769409729,40469.127575128,42638.001122943555,44177.41856770016,45482.39428200767,48319.29610397564,55167.997674901606,31323.383901792204
2025-07-18 15:00:00+00:00,19,300,10713.706699551401,12437.404189489553,15093.820358824352,17842.042723397808,19653.928024690944,21743.226387561168,23742.273524456894,28666.144710674507,30204.830221042524,32147.07698827425,34079.49256098316,35029.85478327687,37301.20510131,38650.28034115128,39785.95627758614,40904.25318837512,41987.11432119183,43657.89001559609,45991.96485059233,51026.14678934797,30031.01198111594
2025-07-18 15:15:00+00:00,20,315,10613.725244812236,11778.649912614153,13773.153701857482,15718.071416424764,17772.77274635521,19843.765568069462,21470.0047388391,24554.17054468411,26803.671700401406,28171.329801949872,29517.278023651455,31736.604696039147,32364.292748236476,33411.02834838503,34734.22535353278,36881.23004010216,37642.705602206464,38786.31002365304,40748.626621608935,46744.71960208677,26754.237014707483
2025-07-18 15:30:00+00:00,21,330,10031.943526245237,11808.021802525878,13017.529032963193,13820.405664639427,15642.987163648508,16882.67906475877,18903.251782050498,20168.65449166262,21969.487134071835,24086.91421371781,25463.100942663317,27211.093546382035,28845.627250520727,29495.289823858464,30491.65375389297,32121.078269264883,33705.17020138554,35496.493921109635,37933.00210781802,42367.20711384515,23776.504167545656
2025-07-18 15:45:00+00:00,22,345,9397.06439079718,11073.001836941947,12112.044643433956,13032.98356611693,14229.389570375537,15028.855883030914,17162.735957508088,18403.585315391094,19630.507222257056,21841.0594179066,22504.830452126433,23766.0776685176,25143.132076388145,26238.21760550827,26740.11786947287,27548.10995272558,28871.512457085068,31369.038885558788,33890.5104353421,37948.317265222824,21038.058021406967
2025-07-18 16:00:00+00:00,23,360,7947.397676702432,9838.019268126463,10540.243964157935,11043.465419397195,12715.401503158047,13276.51710278787,14541.574012840003,15728.792402161285,17062.643284058668,18013.933826866967,19503.168556148383,20035.793666894737,20818.573291293615,21793.50319943248,23023.305397356668,23515.876073073487,24289.347086963407,25521.13127889565,28361.95118952023,33528.260375187165,17977.67305495305
2025-07-18 16:15:00+00:00,24,375,6815.276601189307,8238.32336076455,9070.675022543803,9474.865945478507,10650.644343556294,11238.00151083835,11954.09652763456,12774.219595640998,13618.86466777695,15097.424689639794,16169.014369911849,16945.603522772908,18087.179184630306,19119.42487628331,20091.74371199062,20551.453311654634,21333.44856271672,22247.126304985206,24054.521638877668,29151.40184827634,15200.84317483575
2025-07-18 16:30:00+00:00,25,390,5697.149114964669,6755.126293312195,7403.13768711839,8074.841463160693,9067.383280338028,9522.92671209408,10163.199864256065,11212.22268529812,11749.040142129557,12906.275905654395,13623.98273165802,14473.688889156134,15380.473600906615,15858.322667341363,17105.087305184443,17731.352903641524,18621.059740939632,19146.531304401644,20728.201281721784,24866.985502873973,12958.45961261304
2025-07-18 16:45:00+00:00,26,405,4673.065985601498,5487.614564220328,5942.434271152379,6400.688912658425,7311.439079956258,7825.144126528386,8217.154615953403,9085.491926927467,9554.763509729715,9931.714611252974,10857.647363501093,11473.950661142106,12125.731087316213,12891.070657218022,13648.567594850048,14660.259002533006,15519.510276599163,16149.304839577597,17319.010833370503,20729.921643421963,10574.36650096267
2025-07-18 17:00:00+00:00,27,420,4199.426967000105,4980.183064627437,5738.626346163068,6053.563227021869,6275.635326100708,7120.703746215549,7433.107795138731,7622.934992249224,8371.325961177294,8779.199925403711,9052.517327392243,9510.930909202403,9942.657767908611,10737.203679376105,11301.183912866642,11878.354516410938,12468.581366753151,13450.636344719229,14206.965533947683,16711.85171564341,8918.761507052333
2025-07-18 17:15:00+00:00,28,435,3277.1146031169565,3652.5658279745944,4434.519162497253,4628.6237648041,5173.194624751387,5420.30746625209,5571.3684941851825,5743.556691528062,6200.808967352063,6400.454388076377,7131.268431705524,7544.855362811902,7937.152553244165,8423.72902781151,8822.998550798136,9319.078081770813,9902.465793879554,10493.152745095605,11042.451835083686,12947.324878181145,6960.252113920535
2025-07-18 17:30:00+00:00,29,450,2491.3467368784954,3039.3484071544835,3328.447874673674,3770.2415323255273,3941.671428660094,4092.8790646482134,4358.832890018371,4654.910150042657,5025.270445943592,5235.176539791539,5656.874945254324,5984.637013978188,6222.539355322601,6374.499117433845,6567.462193759341,6915.8763071474505,7508.021770318038,7719.286867800933,8280.575137677022,9573.302212907844,5419.309996276652
2025-07-18 17:45:00+00:00,30,465,1766.1768668592204,2127.9546466598717,2254.4003271400106,2509.867899158933,2676.8962261699808,2784.5086332155324,2947.112348943787,3129.4185871605696,3450.4356179320125,3558.038231679301,3674.7515125216078,3977.2019774144546,4243.208703355994,4327.739735509075,4512.509011680043,4676.612866770606,5020.376443624519,5274.54848637799,5563.693710810414,6586.935541370302,3681.1682326830573
