horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-08-15 13:15:00+00:00,0,15,36538.57590693396,40016.47275973697,42210.16461997287,43014.33419809693,43698.3034510653,44277.363925801634,44783.76936296779,45100.51674565824,45432.27248953982,45790.292865505886,46017.27760049581,46187.756735883995,46358.235871272176,46578.19344819385,46993.36756493802,47681.08950250821,48420.05783376444,48834.886306359316,49402.126193318734,72158.28885363351,44842.93716371098
2025-08-15 13:30:00+00:00,1,30,34489.406687108174,37204.825788875976,39986.344062342796,41060.017864269554,41601.97409565344,42328.6604095903,42813.69009804914,43108.94161084079,43467.469984207084,43763.45267697027,43977.43911928428,44191.425561598284,44382.651262984895,44573.07592136761,44897.937726374636,45840.315056185595,46325.09698863142,46794.84794883006,47384.55274758828,69068.5301518071,42714.711127931354
2025-08-15 13:45:00+00:00,2,45,31288.737513478503,34960.56018237871,37126.19720864971,38984.53768574541,39664.14802078875,40295.71462929953,40598.40115186276,40990.02182540491,41445.49776432824,41785.49150725837,41973.9132606326,42132.185306767686,42290.45735290277,42626.7144506409,43232.25557783326,43828.85405800783,44303.78953172115,44745.17875824341,45763.74796203604,65707.2497911048,40552.56938207761
2025-08-15 14:00:00+00:00,3,60,28955.051130408916,32250.035564028563,34656.5210499586,36521.59751299401,37167.309324848255,37790.98429441596,38223.48494381218,38606.63648992273,39081.74440930151,39350.334352428785,39576.67539679258,39744.87575478463,39913.07611277668,40204.22518898216,40826.369074675364,41444.52859803201,41828.66363045139,42258.43716683997,44072.02213103886,62096.383159813224,38185.191934065355
2025-08-15 14:15:00+00:00,4,75,26659.48710345849,30340.816564912067,32084.653480758407,34189.59255163661,34757.04789229061,35540.187889836765,35884.042293369705,36213.462580120955,36651.80186273266,36944.42696824467,37121.19094458065,37263.07896036883,37404.96697615702,37695.38156406959,38179.46321992742,38728.06786869345,39199.96322327316,39646.438309941615,41428.6617929664,58318.633682139545,35716.13904756736
2025-08-15 14:30:00+00:00,5,90,23907.695791273145,27196.04320617888,28940.522361937525,31381.95614649875,32179.380299942975,32879.64631119351,33317.09191421964,33582.29730874636,34055.18057992014,34347.2283948234,34532.34615343382,34661.18034713095,34790.014540828066,35019.2257527895,35456.435695914486,36104.850499331886,36514.604109512366,36891.98637503674,38251.29457593279,54355.934835475506,33074.6131884678
2025-08-15 14:45:00+00:00,6,105,22342.25386759073,25779.675757784324,26996.430974344887,29220.868298364734,29802.875259145418,30338.356712238536,30805.334728225083,31073.49371853258,31497.431899302897,31748.30740149809,31917.721613210662,32043.092926700207,32168.46424018975,32406.250709968957,32743.14629265471,33325.53036411096,33724.30423472271,34073.63616818999,35879.551398566815,50130.03810391156,30604.4798637622
2025-08-15 15:00:00+00:00,7,120,19554.626668607405,22439.71723883409,24236.28829360314,26143.515765900385,27337.41992769643,27771.575842430335,28165.73568310382,28395.75892764189,28715.251081147162,28994.125423330384,29214.644448160354,29342.15833561324,29469.67222306613,29636.450118426354,29895.57912313035,30262.605466581892,30811.05147989724,31147.07091782982,32156.216424392584,45767.8110355468,27807.769347281617
2025-08-15 15:15:00+00:00,8,135,17809.23136328461,20108.074612276716,21941.388924418097,23253.232659749236,23941.759526934693,25428.7826392252,26200.861375831693,26498.814990612722,26857.920636172294,27163.5229580876,27501.894568733947,27756.63459797992,27939.053382329126,28124.801549096446,28312.920070944143,28811.129453630576,29344.419539882496,29666.477122594326,31048.09705823181,41305.21576733921,26085.373106104198
2025-08-15 15:30:00+00:00,9,150,15344.525878025672,17383.864439442357,18555.38706402418,20019.352262966404,20914.474584126037,21674.771300831948,22724.46722031789,23435.5990706741,23839.804359129084,24169.11970688121,24495.600415544348,24777.53950932414,24950.991470495854,25129.172234232065,25313.002678063247,25634.820185695175,26278.251152892713,26583.958858990638,27970.123614860353,36782.285760119805,23018.306857536525
