horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-08-20 05:45:00+00:00,0,15,7611.1131612977615,8884.427459332263,9444.72690894642,9864.437126571338,10112.352324464062,10306.77934541097,10450.593070359777,10605.447745880962,10699.33457841315,10805.4748857022,10912.019536962795,11015.307472110437,11123.921095146146,11230.107182737485,11332.895281894565,11520.011224990447,11708.280276264737,11895.29163481311,12234.926551020244,17591.712926774246,10481.12372694775
2025-08-20 06:00:00+00:00,1,30,10306.6630310731,11733.846850560669,12327.493125147914,12651.3266751889,13019.81848861601,13206.603978352585,13351.14503861415,13595.285833343685,13751.512045539497,13920.872241677358,14155.26213616518,14397.53050517528,14553.059787226466,14768.484173059145,15002.044655788339,15322.518469596365,15629.18451814867,15925.588003066676,16495.520125131603,21912.325848113593,13685.773955803743
2025-08-20 06:15:00+00:00,2,45,9558.419398168227,11589.498263556903,12964.696092518485,14178.039879008069,14759.309817273093,15231.970447608495,15830.043188905178,16255.784241561674,16621.062324495877,16846.736562870326,17160.709864828747,17471.380520606068,17775.432266578235,18303.538418006763,18811.899884214727,19143.066667478564,19453.765471888102,20039.290025158403,21037.463215130396,26489.148538890782,16362.099033680062
2025-08-20 06:30:00+00:00,3,60,11606.589329571932,13446.267888380113,14473.458713588569,15503.070226655282,16413.327755259263,17271.284477967605,17934.316981274707,18604.331189342014,19097.151045464496,19636.836284568588,20062.01478751723,20518.00199305267,20900.78285884501,21386.77637725869,22006.907013266766,22382.90557878777,22831.707333764483,23468.446248187276,24184.44177654594,31175.679364691412,18881.32809650562
2025-08-20 06:45:00+00:00,4,75,12662.1562649123,15396.183151520387,17335.876912895794,18673.155626982203,19799.57960469081,20678.335782391438,21621.13116168121,22373.450673225143,23054.754370669678,23494.950102711446,23883.1877406406,24418.76803337039,25185.011176977645,25726.71073412666,25983.89206523061,26560.034557736264,27025.832985549132,27461.708336445536,28349.901816371126,35813.8765525978,22431.437769680695
2025-08-20 07:00:00+00:00,5,90,15251.014297160888,19257.892665356332,21897.999210121827,23326.672773194965,24323.798372703433,25281.611290508117,25715.756888878997,26252.349255163826,26689.00441905663,27346.87460857797,27891.814535760088,28419.04215609602,28919.7074626272,29212.547566793273,29764.55217094634,30290.267113342477,30629.79085942994,31281.05454247664,32215.11717349914,40427.0067605016,26270.676695507067
2025-08-20 07:15:00+00:00,6,105,14111.336989297724,17052.40019189381,18677.620326276698,21219.55790784115,22452.71348594895,23948.42799838741,24758.590381423193,25747.04669143922,26647.607359523354,27351.778029521924,28267.824733652495,28917.16750306221,29597.375320439616,30716.767746193196,31656.88912196962,32508.394079814956,33427.637053088685,34199.06530849052,34928.29762318556,44968.141063565854,26507.41189790675
2025-08-20 07:30:00+00:00,7,120,12712.664563444836,15563.383283732464,16998.109201275962,18158.19421628673,19829.96509981476,20987.274636406848,22888.243922430098,24282.620115131704,25599.428309726143,26645.23128196771,28057.74956679492,28873.15784939971,30264.218946420893,31046.064151286606,32337.242717274752,33315.90830471705,34874.247828171894,36236.837138255105,38221.706863063046,49396.3066607561,26237.2493996054
2025-08-20 07:45:00+00:00,8,135,23900.114788117473,30892.336955486237,32074.0526943232,33499.88486359285,35229.56089263225,36370.00608866172,37411.662327227816,39315.74305383974,39803.043354057445,40173.482461011125,40508.41064563794,40842.877573947575,41189.40876991834,41697.81204770189,42178.18654853852,42468.593231885425,42844.73735012339,43548.669658872226,44654.411128819316,53675.27671207639,37833.89727866742
2025-08-20 08:00:00+00:00,9,150,24562.634189556855,32502.83275461649,34030.25683220274,35632.12486526706,36849.437276487195,38084.346590368354,39472.57527619079,41566.185732620994,42430.79890430285,42878.63005320805,43354.98178879497,43654.315933252954,43927.32653391347,44322.32341754481,44986.66630285882,45490.310948624385,45818.30287443962,46277.618943549794,47685.604036887555,57772.68908862431,40005.6706719493
