horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-10-29 07:30:00+00:00,0,15,7776.147094825753,9191.862685682458,10060.405288573169,10456.406408239949,10777.975843142582,11107.717247276234,11384.019916809275,11775.931946343611,12015.925604386191,12198.226516188935,12409.696906667574,12606.884667816817,12842.143266295305,13038.486581301273,13322.96996413034,13640.520868033576,13913.370436951842,14406.402119078386,14922.249972161997,22611.5103519477,11833.525372141024
2025-10-29 07:45:00+00:00,1,30,8412.676770537639,9958.623913419357,11640.319128960944,12588.800454436168,13235.412113412369,13636.68603270346,14415.846762502188,14793.152780943577,15107.121255602242,15360.267682756317,15657.012984963636,16012.685535767992,16460.558999125504,16922.006019914068,17319.40791477908,17676.52942319994,18342.2780420612,18673.823705505838,19306.654935708408,26987.363487294417,15082.886907002985
2025-10-29 08:00:00+00:00,2,45,7277.068182012852,8776.068388320577,10586.044229437392,11719.080644175676,13087.346640034122,14217.975760865533,14849.770201059391,15471.053010465099,16139.588486444782,16551.539435817707,17098.69178806028,17582.108611447667,18233.779458981116,18918.991613882474,19337.148922261684,19985.552687546246,20681.791430917227,21202.863317471183,22004.71036296809,31154.453348104944,16197.392162914497
2025-10-29 08:15:00+00:00,3,60,7145.2248312987185,9034.935546268192,10825.88746007364,11755.694035625731,13083.249186597073,13768.774818491529,14481.69352183886,15594.969902253788,16381.166432614766,17119.233495308414,18132.117876194,18843.45808302642,19408.18026089101,20211.2424462877,21328.040947855097,22104.520934992837,23291.639142163735,23888.933272565333,25283.817544463724,35064.3379314998,16931.28527232336
2025-10-29 08:30:00+00:00,4,75,8807.899041456007,11242.607295909605,12749.01626024581,14164.7068487611,15306.108244314155,16601.401881201888,17665.001897204846,18711.35371858736,19785.91816142824,20355.309058715866,21205.846128969162,21775.959972952624,22902.098187033338,23767.42396759493,24263.93818761409,25235.17742760701,25969.141532076846,26676.290217417496,28021.568081271405,38682.37689154587,19718.018112809812
2025-10-29 08:45:00+00:00,5,90,9652.67840180138,12524.731737618356,13964.403717357434,16112.242207858591,17984.32783198359,19641.861146424653,20617.20835478205,21709.71812052816,22704.965895584497,23676.034398574964,24910.21315229121,25754.26251943599,26312.170722164265,26943.32277348113,27655.39944664425,28366.255576950847,29076.234240386406,29945.283553690042,32958.948583177866,41982.425260404736,22552.933903046425
2025-10-29 09:00:00+00:00,6,105,9417.440836641223,12761.899431836298,14331.058174850508,16674.693071367805,18861.07704643997,21019.811229695766,21843.96887514092,23052.386656919814,24424.6919733418,25177.31239984999,26104.91319678044,27151.712914850348,27920.784662135986,28737.71351570252,29599.663705586507,30408.64396355003,31102.968967842087,32485.90621342069,34396.569518239216,45156.5205879982,23825.234775049674
2025-10-29 09:15:00+00:00,7,120,11016.75575414416,14364.213688363518,16146.483948649075,18328.057891148703,20338.90783351521,22262.568864803343,23252.509118689995,24414.127921156552,25849.870548048348,26639.033420025542,27639.538792288095,28730.57455619301,29523.790069522107,30151.485190474818,31150.582035073046,31815.43185789343,32431.68961701753,33065.37387751108,34793.244619251396,47863.750197910515,25242.194620992457
2025-10-29 09:30:00+00:00,8,135,9942.25570061339,14590.87190067647,16305.371665289533,17632.208889392547,19590.399088690476,20851.516291934888,22486.596135535357,24164.875280733464,25621.0764461911,26713.959799978653,28862.372312782252,29679.545787023206,31176.318185220793,32979.545856686185,33651.025072849334,34705.367740399706,35152.33021449205,36008.729237458276,38382.15634149145,50161.21151605566,26090.70074308244
2025-10-29 09:45:00+00:00,9,150,8683.780558416469,12521.108229885982,15487.293589043635,16850.97166166368,18000.230797139367,20011.211773860352,22428.84612548742,25002.63058652423,27165.664808076246,28888.311464647824,30671.362964025833,31288.597435750788,32554.60050205411,34531.62897185072,35193.28489464746,36030.66937117974,36427.04802040513,36889.24701147848,38217.76711787859,52066.78569676979,26574.843098097503
