run_time,target_time,lead_hours,forecast_type,actual_MWh,forecast_MWh,delta_MWh,da_price,revenue_EUR,applied_price_EUR_per_MWh,penalty_EUR,net_revenue_EUR,forecast_file
2025-10-15 11:00:00+00:00,2025-10-16 08:00:00+00:00,21.0,deterministic,2.0852600000000003,2.203967884645256,-0.11870788464525583,118.0,246.06068000000005,91.07,-10.810727054643449,235.2499529453566,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 08:15:00+00:00,21.25,deterministic,1.8403025,2.5076562116041043,-0.6673537116041044,93.73,172.491553325,95.67,-63.84572958916467,108.64582373583534,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 08:30:00+00:00,21.5,deterministic,2.2747375,2.737263337180648,-0.46252583718064777,81.21,184.731432375,123.33,-57.04331149948929,127.6881208755107,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 08:45:00+00:00,21.75,deterministic,1.782495,2.6409916912336238,-0.8584966912336238,76.01,135.48744495,110.08,-94.5033157709973,40.98412917900269,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 09:00:00+00:00,22.0,deterministic,2.4797550000000004,2.825311263387547,-0.34555626338754664,102.38,253.87731690000004,126.55,-43.73014513169402,210.147171768306,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 09:15:00+00:00,22.25,deterministic,2.4019575,3.4635849526212703,-1.0616274526212703,86.71,208.273734825,146.13,-155.13561965154622,53.13811517345377,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 09:30:00+00:00,22.5,deterministic,2.0658175,4.186421052770413,-2.120603552770413,85.48,176.58607990000002,199.96,-424.03588641197183,-247.44980651197181,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 09:45:00+00:00,22.75,deterministic,3.2552075,4.011945988788143,-0.7567384887881428,78.66,256.05462195,188.5,-142.6452051365649,113.40941681343512,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 10:00:00+00:00,23.0,deterministic,2.97808,4.275651212696362,-1.2975712126963619,89.01,265.0789008,225.44,-292.5244541902678,-27.445553390267833,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 10:15:00+00:00,23.25,deterministic,2.8910675,4.334957818472401,-1.443890318472401,82.76,239.2647463,189.87,-274.15145476835477,-34.886708468354755,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 10:30:00+00:00,23.5,deterministic,2.4914650000000003,4.427542709252678,-1.9360777092526775,83.44,207.8878396,36.94,-71.5187105797939,136.36912902020612,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 10:45:00+00:00,23.75,deterministic,1.6648125,4.484446932606016,-2.8196344326060157,78.4,130.52130000000002,42.6,-120.11642682901628,10.404873170983748,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 11:00:00+00:00,24.0,deterministic,1.9655425,4.564620742513776,-2.5990782425137766,84.28,165.6559219,160.17,-416.2943621034316,-250.63844020343157,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 11:15:00+00:00,24.25,deterministic,2.9756350000000005,4.36175098211951,-1.3861159821195095,82.54,245.60891290000006,151.8,-210.41240608574157,35.1965068142585,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 11:30:00+00:00,24.5,deterministic,3.93824,4.445204585092127,-0.5069645850921272,80.68,317.7372032,150.98,-76.54151305720936,241.19569014279065,forecast_202510151100.csv
2025-10-15 11:00:00+00:00,2025-10-16 11:45:00+00:00,24.75,deterministic,3.354075,4.453646994457717,-1.0995719944577171,78.4,262.95948,152.12,-167.26689179690794,95.69258820309204,forecast_202510151100.csv
