measure_date,Imbalance Volume
2024-01-07 23:45:00+00:00,81.52
2024-01-08 00:30:00+00:00,122.23
2024-01-08 01:15:00+00:00,114.1
2024-01-08 02:30:00+00:00,197.91
2024-01-08 02:45:00+00:00,156.33
2024-01-08 03:15:00+00:00,111.19
2024-01-08 04:30:00+00:00,119.69
2024-01-08 04:45:00+00:00,131.25
2024-01-08 07:00:00+00:00,86.64
2024-01-08 07:15:00+00:00,104.37
2024-01-08 07:30:00+00:00,85.24
2024-01-08 08:00:00+00:00,-92.99
2024-01-08 08:45:00+00:00,73.63
2024-01-08 09:00:00+00:00,47.96
2024-01-08 10:30:00+00:00,10.72
2024-01-08 11:30:00+00:00,-99.4
2024-01-08 14:00:00+00:00,87.62
2024-01-08 15:45:00+00:00,-81.58
2024-01-08 18:45:00+00:00,103.33
2024-01-08 19:00:00+00:00,-5.88
2024-01-08 21:45:00+00:00,-101.93
2024-01-08 22:00:00+00:00,-97.73
2024-01-08 22:45:00+00:00,-114.16
2024-01-08 23:00:00+00:00,-94.39
2024-01-08 23:45:00+00:00,-136.26
2024-01-09 00:45:00+00:00,-109.68
2024-01-09 01:00:00+00:00,-58.8
2024-01-09 02:30:00+00:00,-72.46
2024-01-09 03:30:00+00:00,-33.07
2024-01-09 04:00:00+00:00,-39.77
2024-01-09 04:30:00+00:00,-88.76
2024-01-09 06:30:00+00:00,-117.29
2024-01-09 06:45:00+00:00,-133.49
2024-01-09 07:45:00+00:00,-151.34
2024-01-09 08:00:00+00:00,-140.94
2024-01-09 08:15:00+00:00,-194.25
2024-01-09 08:30:00+00:00,-177.44
2024-01-09 08:45:00+00:00,-144.85
2024-01-09 09:00:00+00:00,-107.17
2024-01-09 09:15:00+00:00,-118.13
2024-01-09 10:15:00+00:00,36.75
2024-01-09 13:15:00+00:00,-141.38
2024-01-09 14:00:00+00:00,-137.1
2024-01-09 14:15:00+00:00,-124.98
2024-01-09 19:30:00+00:00,-89.26
2024-01-09 22:45:00+00:00,-106.85
2024-01-10 00:45:00+00:00,-126.81
