horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-10-29 12:15:00+00:00,0,15,24396.174241799043,26739.15154919335,28449.96362856124,29522.128491398627,30143.188228519884,30970.796946488485,31434.834959864293,31790.945710043205,32084.59617703495,32361.119511976558,32618.63237997163,32811.5507248726,33022.13253077197,33327.449446968145,33583.12965644011,33881.10726985242,34256.5615022434,34735.755823623665,35447.21330117691,48910.99424263283,31291.587696025854
2025-10-29 12:30:00+00:00,1,30,22792.908591987507,25308.749039462436,26613.12229648443,28076.47211324692,28777.466380571834,29570.06820689215,30074.697014816287,30360.28434855931,30623.662348489514,30890.087760390703,31156.061973278338,31357.60113619636,31589.712710223594,31892.329564728956,32185.12196495269,32534.707519662534,32874.972237709306,33428.73879043325,34148.883454341565,46443.67078290412,29964.55944587864
2025-10-29 12:45:00+00:00,2,45,13484.560160627676,17815.63415339791,21431.981505649714,22905.40457974204,24643.13114485112,26299.973281845803,26946.420074957176,28045.664348558723,28538.762611884802,28920.67431489218,29233.086913376097,29458.998432286542,29723.479291349686,30026.739369741157,30266.772127900476,30602.75001347058,31046.201423220784,31604.206681810585,32950.47586670274,43624.135577497684,26820.70734064145
2025-10-29 13:00:00+00:00,3,60,12348.291507085067,14658.688323809527,18899.50091490636,20657.590875011683,21746.957659954616,22879.335812608766,23894.268896062556,25022.897713698883,25563.67041041815,26482.692494058854,26846.27451287537,27274.786281700315,27561.283346006523,27813.94820468673,28204.326025359205,28514.644259735,28907.168817758084,29405.51403550649,30589.49105239283,40306.855505341875,24255.760022408682
2025-10-29 13:15:00+00:00,4,75,9239.269105918442,12153.434867165826,14250.132075688087,17113.34220789212,19042.110190399777,19950.65070877659,20905.410403230526,21667.814891922415,23013.708155474804,23557.721249106264,24525.59929515341,24900.30512231379,25332.54836228725,25635.118544145986,25944.78917450423,26218.687474219827,26537.1671491548,27080.17416004364,28077.564135302997,36933.152230097745,21627.695039976043
2025-10-29 13:30:00+00:00,5,90,6622.4119628765475,10294.726269023766,11567.006901231638,13109.778230553015,15694.891617294119,17358.241228245617,18439.443115436963,19295.701227375514,20019.350678239578,21023.213150737294,21879.27476440409,22473.73693084421,22825.57481322409,23194.445837620242,23539.8196837892,23797.39496618675,24109.245720970514,24547.88971524042,25649.97230777181,33286.42792360017,19031.83095059913
2025-10-29 13:45:00+00:00,6,105,6301.119528543526,8659.122782650627,9886.721446293306,11309.458239091262,12492.092597898241,14035.101181517302,15612.134631251303,16596.652000080372,17188.443235775536,17832.38252621727,18761.432695743028,19293.366222544766,19887.228620405425,20332.18539980918,20948.072172793403,21146.04986405179,21517.109265393985,21888.338145033533,23063.02717944634,29399.39603864087,16478.271436477386
2025-10-29 14:00:00+00:00,7,120,5344.219479079954,6997.706527452364,8272.0344324632,9136.046663554416,9907.086716558862,11174.209660902861,13001.196968051649,13695.480710855969,14497.565964125051,15015.978614420226,15571.88531150763,16237.22426509214,16758.73845644003,17334.66396191221,17803.716347719237,18271.76878233643,18612.27108571961,19030.108872350964,20169.174532860114,25313.28642678435,13971.746958895345
2025-10-29 14:15:00+00:00,8,135,4216.008636591259,5325.797803313677,6772.01037505971,7489.123834890155,8085.357939586682,8663.491196502067,9818.255062263757,10971.769312346873,11579.20944223675,12309.764518216478,12683.496936182335,13019.921866991179,13611.302567099458,14065.046500023807,14622.194771417371,15141.570349962076,15513.864167137803,16073.162657200424,17029.473793977013,21082.196712085053,11361.935063684203
2025-10-29 14:30:00+00:00,9,150,3289.843933135178,4271.7869438821845,5255.170859046075,5892.161266203174,6306.406656247057,6738.771758357588,7306.3810701318835,7802.961121657738,8997.489501094036,9480.081277958277,10000.763322539979,10374.88242431465,10809.240109959634,11200.470591539157,11735.97849545101,12096.78867442302,12408.901278907282,12899.055744931273,13798.03998106321,16737.679093705105,8941.829591915499
2025-10-29 14:45:00+00:00,10,165,2431.6280598820485,2904.7549585535844,3371.8644586392024,4181.746475221923,4456.342380873212,4736.883178022484,5010.688312951298,5487.126394340525,5854.701875892669,6325.706597729472,6864.906875481059,7329.509505906246,7649.635215940649,7835.870240820278,8191.723297356956,8657.757475802578,9027.794619405104,9384.199705736226,10061.889233777692,12234.586275610502,6293.508684536553
2025-10-29 15:00:00+00:00,11,180,1299.9819710474176,1627.7010654441665,1809.6913067650073,2032.6111555811601,2405.529041109087,2913.54184849856,3121.263912645213,3273.802783146489,3487.603590501713,3818.2988887121137,4108.191985139713,4535.184648686709,4743.334839570454,4976.682088820118,5176.777976412964,5434.397812711455,5746.088868031141,6052.540227641536,6593.225278894312,8159.0136585566015,3857.532450549973
2025-10-29 15:15:00+00:00,12,195,562.8943612037391,713.4585243040954,786.3625103468355,864.3055023983351,941.1432559636052,1017.5256599385199,1134.2438764391322,1309.2984187383101,1396.6395029330852,1449.3618204496654,1545.5678540427152,1772.0115650650453,1926.879037217052,2074.333205756005,2214.684492972855,2327.604748911784,2438.322598278381,2574.8751815991045,2904.066488058406,3613.6318040790884,1586.2057264231275
2025-10-29 15:30:00+00:00,13,210,118.09419501811044,141.5396746736035,162.8947659544789,177.446835402457,197.20684922499726,209.99844442904487,221.50593696664424,241.10212515325622,274.8418250385015,293.2032409123655,309.51693032953943,329.44181342034693,375.67402498624784,410.84014392543133,442.1933286198563,476.70946866640924,500.9955785340806,550.1636938696458,627.2734268127252,765.4196272268772,330.97450793256013
