horizon,horizon_num,horizon_minutes,p_05,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,clear_sky,deterministic
2025-08-08 12:15:00+00:00,0,15,28368.719558324254,31233.942492700826,34406.96527669242,36768.82797946474,37997.85163163202,39368.68525849901,40505.799763565,41776.32234461939,43129.004764074714,44387.08939621283,45594.76783703963,47565.63172131238,49191.44664797215,50814.68534833222,51862.34684144375,52886.97843508223,55074.07675609976,57324.10650382971,60047.140665613886,82715.4288086219,44907.149488924675
2025-08-08 12:30:00+00:00,1,30,25560.45150463241,29197.034954471404,31872.481598022187,34545.47540478168,36800.632285087566,38305.88119911692,39677.99548016823,40705.794946725924,42483.604588499664,44277.958584128144,45208.83928720119,46905.93245918667,49317.90479189877,50609.89396446243,51685.88675394218,53363.46005150227,55271.67104760887,57978.352959069234,61694.20965086958,80935.44184875957,44120.872493719224
2025-08-08 12:45:00+00:00,2,45,23937.329748917888,26838.49743741595,30392.320508058194,32780.040013477155,36044.431518494355,37827.76224769507,39169.92210711418,40729.05777790951,42411.67245314359,43702.38764402826,45092.889768359,47481.40812242124,49019.518122740636,49921.14083144538,50782.480436573234,52863.72329995849,54910.98115731727,57891.30227161132,61465.871529985816,78821.25098708026,43323.42365337933
2025-08-08 13:00:00+00:00,3,60,23164.922601130605,25503.66076310329,28201.11675335154,29791.17951658006,32090.69254965793,34690.03979598554,36422.201516104855,37544.372203168474,39423.758477273725,40973.542532000516,42142.63819751756,44099.05842902774,46546.20245432863,48013.876838295975,49153.72911548343,50975.237690555026,51954.146778032395,54691.98076289858,57636.11649501406,76385.72466187662,40321.10819257935
2025-08-08 13:15:00+00:00,4,75,20339.0209427877,23294.168225513786,26416.25198425238,28477.49163075614,30428.6004129787,32881.62629517896,34908.037713237776,36043.47900220083,37783.75072537725,39094.42367725762,40152.474141739964,41354.457235724716,43396.191477400695,44698.33547306202,46449.53671646471,48344.53929995315,49618.58504006288,51674.781312403466,55257.62369915484,73643.79768810487,38407.620687740964
2025-08-08 13:30:00+00:00,5,90,19545.81063370078,22107.758720336362,23994.279357779444,26458.018958422355,28396.48393823544,30745.94758943182,32613.323723767888,34079.625046256166,35450.33428543888,36984.775877231055,38282.60600487216,39535.87658488359,41392.65288740686,42737.538633592245,43719.28113057155,45476.163678511024,47317.19913241685,48780.1501934599,51110.40776745368,70612.47937564396,36160.95647667007
2025-08-08 13:45:00+00:00,6,105,12997.630263936602,18134.64060966495,20853.017160719046,22038.089235116055,24450.10383716414,26586.391144480374,29591.76220063191,31462.611089016744,32355.524367847465,33921.19811161559,35444.749913737454,36653.19988009203,38074.00300160619,40311.56786503261,41547.716868558804,43582.62142913874,44874.978600999864,46987.54265262141,49048.95096135621,67310.88156340302,32890.43063168237
2025-08-08 14:00:00+00:00,7,120,16567.06956094824,19765.34817635744,21518.47342891524,23259.72680080151,25135.5666709426,28149.901016704942,29478.051638191562,30272.932663973927,31740.512585379038,33519.585857117476,34475.533050388105,36159.45924998284,37759.094774019315,38881.83073048045,39896.30335521589,41618.47982281134,43354.86597717748,45144.099831815045,47023.30942844094,63760.27309400969,32660.304684490722
2025-08-08 14:15:00+00:00,8,135,16509.85178326891,19404.547172714385,21242.38501494982,23787.301086857417,25608.668946239628,27182.11244267042,28320.945351223716,29625.911779043618,31299.66132452581,32058.893460473886,33497.30243220239,35680.69747785554,36438.3174550593,37051.48480321879,38151.55764999253,39330.84340331907,40779.19323685334,42857.97363235533,44094.129036032944,59984.16939516121,31544.064953514284
2025-08-08 14:30:00+00:00,9,150,16728.68931218129,19169.072948843608,22239.475038486187,24215.648453092715,25586.48947280811,26675.688580100104,27900.36623121006,29117.15868750316,30187.75416198099,31399.620670627257,32990.77482165519,33833.91483815321,34505.470220433264,35423.947761517986,36324.55495795563,37121.131121307284,38483.130417851615,39954.80174290939,40825.71258699928,56060.206309699024,30416.75226275853
2025-08-08 14:45:00+00:00,10,165,15841.239137962744,18282.308333220655,21224.90257563926,22981.249978520067,24300.94327846316,25862.006807176356,27372.0548394857,27947.148820118244,28842.35446338393,29878.34134195593,31244.065446734032,31921.707826863807,32505.826858832577,33345.248548136646,34041.81371322575,34837.24619206945,35789.96757915907,36985.45313347215,38063.8290987472,51954.86000691095,28765.910656361997
