forecast_type,site,n_prod_intervals,energy_MWh,inc_EUR_total,inc_EUR_per_MWhProduced,mean_spread,sigma_spread,bias_E[e]_MWh,RMSE_e_MWh,rho_e_spread,corr_term_EUR_per_interval,bias_term_EUR_per_interval,E[e*spread]_EUR_per_interval
deterministic,NEOEN,666,809.0664232464806,-5414.36464915002,-6.6921138902591,3.3733483483483484,86.46604137035554,-0.07747804492160025,0.578913611024551,-0.15861605192030356,-7.868316215505868,-0.26136043486953936,-8.129676650375407
str_1,NEOEN,666,809.0664232464806,-3727.1628935707395,-4.606745239303135,3.2547897897897906,85.86462603211227,-0.1754614760778198,0.6703752731555297,-0.09045558228448586,-5.0252504601976105,-0.5710902208395335,-5.596340681037146
